epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,682.96,1.4301,1.24017,1.20823,0.8994,0.75,0.75053,0.3423,1.90314,1.27675,1.6143,0.00151687,0.00151687,0.00151687
84,695.046,1.36055,1.07145,1.18849,0.89803,0.75,0.75843,0.3189,1.97179,1.25845,1.63128,0.00150611,0.00150611,0.00150611
85,703.28,1.37389,1.11413,1.21471,0.89924,0.74432,0.79392,0.39265,1.84382,1.14476,1.51715,0.00149526,0.00149526,0.00149526
86,711.141,1.45104,1.06079,1.18286,1,0.82918,0.91025,0.34605,2.09887,1.25163,1.70527,0.00148434,0.00148434,0.00148434
87,716.875,1.45036,1.13822,1.31898,0.79816,0.65977,0.72268,0.24805,2.31815,1.40552,1.90094,0.00147335,0.00147335,0.00147335
88,723.767,1.36985,0.99078,1.18632,0.82089,0.83333,0.81684,0.27871,2.3345,1.29128,1.92465,0.00146228,0.00146228,0.00146228
89,726.236,1.51002,1.02722,1.26941,0.88446,0.83333,0.78467,0.25141,2.45333,1.36847,2.06683,0.00145114,0.00145114,0.00145114
90,739.894,1.44227,1.1134,1.37812,0.88289,0.83333,0.8024,0.31179,2.23967,1.2073,1.86438,0.00143993,0.00143993,0.00143993
91,748.881,1.45969,1.07242,1.26113,0.44851,0.5,0.44096,0.12814,2.69627,1.79511,2.24925,0.00142865,0.00142865,0.00142865
92,753.93,1.37893,1.07194,1.16109,0.73146,0.58333,0.66579,0.23458,2.33894,1.53466,1.93452,0.0014173,0.0014173,0.0014173
93,770.166,1.35255,1.08283,1.28066,0.85568,0.66667,0.73821,0.29023,2.01483,1.36774,1.66184,0.00140589,0.00140589,0.00140589
94,783.224,1.393,1.04106,1.20856,0.81208,0.66667,0.72744,0.36217,1.77071,1.26905,1.47002,0.00139442,0.00139442,0.00139442
95,793.232,1.44608,1.01859,1.17224,0.7486,0.83333,0.79441,0.39927,1.79356,1.24063,1.50193,0.00138288,0.00138288,0.00138288
96,798.407,1.4338,0.96024,1.11694,0.96193,0.75,0.89137,0.43307,1.76001,1.22475,1.45333,0.00137128,0.00137128,0.00137128
97,812.435,1.29021,0.95824,1.17661,0.96925,0.75,0.86596,0.31567,2.00528,1.37035,1.64066,0.00135963,0.00135963,0.00135963
98,821.73,1.33353,1.00452,1.20618,0.60255,0.58333,0.58675,0.18962,2.30088,1.67185,1.97059,0.00134792,0.00134792,0.00134792
